view_name,depends_on_relation
v_cit_rollup,clutch_instance_treatments
v_cit_rollup,clutch_instances
v_clutch_annotations_summary,clutch_instances
v_clutch_annotations_summary,clutches
v_clutch_annotations_summary,cross_instances
v_clutch_treatments_summary,clutch_plan_treatments
v_fish_label_fields,fish
v_fish_label_fields,fish_transgene_alleles
v_fish_live_counts,containers
v_fish_live_counts,fish
v_fish_live_counts,fish_tank_memberships
v_fish_standard_clean_v2,fish
v_fish_standard_clean_v2,fish_transgene_alleles
v_fish_standard_clean_v2,transgene_allele_registry
v_plasmids,vw_plasmids_overview
v_rna_plasmids,plasmids
v_rna_plasmids,rna_registry
v_tank_pairs,clutch_plans
v_tank_pairs,containers
v_tank_pairs,fish
v_tank_pairs,fish_pairs
v_tank_pairs,tank_pairs
v_tanks,fish
v_tanks,fish_tank_assignments
v_tanks,fish_tank_memberships
v_tanks,tanks
v_tanks,v_tanks_current_status
v_tanks_current_status,tank_status_history
v_tanks_current_status,tanks
vw_fish_overview_with_label,fish
vw_fish_overview_with_label,fish_seed_batches_map
vw_fish_overview_with_label,fish_transgene_alleles
vw_fish_overview_with_label,transgene_alleles
vw_fish_standard,containers
vw_fish_standard,fish
vw_fish_standard,fish_tank_memberships
vw_fish_standard,vw_fish_overview_with_label
vw_plasmids_overview,plasmids
vw_plasmids_overview,rnas
